Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10.0,0.00
Query 2,0,0.0,0.00
Query 3,0,0.0,0.00
Query 4,0,0.0,0.00
Query 5,2,20.0,-9.00
Query 6,0,0.0,0.00
Query 7,1,10.0,0.00
Query 8,0,0.0,0.00
Query 9,0,0.0,0.00
Query 10,2,20.0,-1.00
Query 11,1,10.0,0.00
Query 12,1,10.0,0.00
Query 13,1,10.0,0.00
Query 14,2,20.0,-25.00
Query 15,3,30.0,-3.25
Query 16,3,30.0,-2.00
Query 17,0,0.0,0.00
Query 18,0,0.0,0.00
Query 19,1,10.0,0.00
Query 20,1,10.0,0.00
Query 21,0,0.0,0.00
Query 22,0,0.0,0.00
Query 23,3,30.0,0.50
Query 24,1,10.0,0.00
Query 25,0,0.0,0.00
Query 26,2,20.0,-9.00
Query 27,2,20.0,-33.00
Query 28,0,0.0,0.00
Query 29,0,0.0,0.00
Query 30,0,0.0,0.00
Query 31,1,10.0,0.00
Query 32,2,20.0,1.00
Query 33,1,10.0,0.00
Query 34,1,10.0,0.00
Query 35,0,0.0,0.00
Query 36,1,10.0,0.00
Query 37,0,0.0,0.00
Query 38,3,30.0,0.75
Query 39,4,40.0,-1.00
Query 40,2,20.0,-16.00
Query 41,0,0.0,0.00
Query 42,1,10.0,0.00
Query 43,0,0.0,0.00
Query 44,1,10.0,0.00
Query 45,2,20.0,-63.00
Query 46,0,0.0,0.00
Query 47,2,20.0,-9.00
Query 48,0,0.0,0.00
Query 49,1,10.0,1.00
Query 50,3,30.0,-11.50
Query 51,1,10.0,0.00
Query 52,0,0.0,0.00
Query 53,1,10.0,0.00
Query 54,0,0.0,0.00
Query 55,2,20.0,-9.00
Query 56,1,10.0,0.00
Query 57,2,20.0,-4.00
Query 58,1,10.0,0.00
Query 59,2,20.0,-8.00
Query 60,1,10.0,0.00
Query 61,4,40.0,-0.10
Query 62,2,20.0,-4.00
Query 63,0,0.0,0.00
Query 64,0,0.0,0.00
Query 65,0,0.0,0.00
Query 66,0,0.0,0.00
Query 67,0,0.0,0.00
Query 68,3,30.0,-0.50
Query 69,0,0.0,0.00
Query 70,1,10.0,0.00
Query 71,3,30.0,0.50
Query 72,1,10.0,0.00
Query 73,3,30.0,-1.00
Query 74,4,40.0,-0.80
Query 75,1,10.0,0.00
Query 76,1,10.0,0.00
Query 77,0,0.0,0.00
Query 78,1,10.0,0.00
Query 79,0,0.0,0.00
Query 80,4,40.0,-2.50
Query 81,0,0.0,0.00
Query 82,0,0.0,0.00
Query 83,2,20.0,-3.00
Query 84,0,0.0,0.00
Query 85,0,0.0,0.00
Query 86,4,40.0,0.80
Query 87,0,0.0,0.00
Query 88,1,10.0,0.00
Query 89,2,20.0,0.00
Query 90,3,30.0,0.75
Query 91,0,0.0,0.00
Query 92,2,20.0,-3.00
Query 93,0,0.0,0.00
Query 94,1,10.0,1.00
Query 95,0,0.0,0.00
Query 96,0,0.0,0.00
Query 97,1,10.0,0.00
Query 98,0,0.0,0.00
Query 99,2,20.0,0.00
Query 100,2,20.0,-17.00
Averages,1.1,11.1,-2.29
